,job status,marital,education,housing,approval,age,balance,duration
0,10,0,0,0,0,30.0,1787,79.0
1,7,0,1,1,0,33.0,4789,220.0
2,4,1,2,1,0,35.0,1350,185.0
3,4,0,2,1,0,30.0,1476,199.0
4,1,0,1,1,0,59.0,0,226.0
5,4,1,2,0,0,35.0,747,141.0
6,6,0,2,1,0,36.0,307,341.0
7,9,0,1,1,0,39.0,147,151.0
8,2,0,2,1,0,41.0,221,57.0
9,7,0,0,1,0,43.0,-88,313.0
10,7,0,1,1,0,39.0,9374,273.0
11,0,0,1,1,0,43.0,264,113.0
12,9,0,2,0,0,36.0,1109,-328.0
13,8,1,1,0,1,20.0,502,261.0
14,1,0,1,1,0,31.0,360,89.0
15,4,0,2,0,0,40.0,194,189.0
16,9,0,1,0,0,56.0,4073,239.0
17,0,1,2,1,0,37.0,2317,114.0
19,7,0,1,0,0,31.0,132,148.0
20,4,2,3,1,0,38.0,0,-96.0
21,4,2,2,0,0,42.0,16,140.0
22,7,1,1,0,0,44.0,106,109.0
23,2,0,1,0,0,44.0,93,125.0
24,3,0,2,0,0,26.0,543,169.0
25,4,0,2,0,0,41.0,5883,182.0
26,1,0,0,1,0,55.0,627,247.0
27,5,0,3,0,0,67.0,696,119.0
28,6,0,1,0,0,56.0,784,149.0
29,0,0,1,0,0,53.0,105,74.0
30,5,2,1,0,1,68.0,4189,897.0
31,9,0,1,0,0,31.0,171,81.0
32,4,0,1,0,0,59.0,42,40.0
33,4,1,2,1,1,32.0,2536,958.0
34,9,0,2,0,1,49.0,1235,354.0
35,0,2,1,1,0,42.0,1811,150.0
36,5,2,0,0,1,78.0,229,97.0
37,1,0,1,1,1,32.0,2089,132.0
38,4,0,1,1,1,0.0,3935,765.0
39,7,1,2,1,0,23.0,363,16.0
40,4,1,2,1,0,38.0,11971,609.0
41,4,1,2,0,0,36.0,553,106.0
42,1,0,1,1,0,52.0,1117,365.0
43,9,0,2,1,0,32.0,396,205.0
44,9,1,2,1,0,32.0,2204,11.0
45,4,1,2,1,0,34.0,872,105.0
46,1,0,0,0,0,55.0,145,59.0
47,1,0,0,1,0,26.0,0,425.0
48,2,1,0,1,0,32.0,-849,204.0
50,1,2,0,0,1,45.0,844,1018.0
51,9,1,1,1,0,37.0,228,1740.0
52,9,1,1,0,0,38.0,50,98.0
53,9,0,2,1,1,34.0,1539,441.0
54,1,0,1,1,0,53.0,2231,272.0
55,0,0,1,1,0,48.0,3064,159.0
56,4,0,1,0,0,57.0,82,140.0
57,6,1,2,0,0,33.0,2155,295.0
58,5,1,1,1,0,36.0,101,314.0
60,1,0,0,0,0,41.0,-516,554.0
61,5,0,1,1,0,63.0,415,323.0
62,4,0,2,0,0,48.0,5887,227.0
63,7,0,1,0,0,48.0,1355,134.0
64,0,0,1,0,0,56.0,16873,223.0
65,1,2,1,1,0,51.0,203,134.0
66,7,0,1,1,0,31.0,338,155.0
67,9,0,1,1,0,29.0,444,130.0
68,4,0,1,0,0,41.0,0,630.0
69,9,1,2,0,0,32.0,360,164.0
70,4,0,2,0,1,37.0,0,268.0
71,2,2,2,1,0,42.0,2,380.0
72,4,1,2,1,0,31.0,6248,154.0
73,7,0,2,1,0,41.0,412,154.0
74,5,0,1,1,0,56.0,344,221.0
75,4,2,2,0,0,54.0,3222,67.0
76,1,2,1,1,0,41.0,174,367.0
77,9,1,1,0,0,40.0,591,87.0
78,1,2,0,0,0,50.0,388,701.0
79,10,0,1,1,0,40.0,219,204.0
80,0,2,1,1,1,27.0,451,652.0
81,5,0,0,0,0,60.0,5,63.0
82,0,1,1,1,0,28.0,177,150.0
83,7,0,1,0,1,52.0,657,398.0
84,4,0,2,0,1,37.0,1315,224.0
85,1,0,0,1,0,51.0,1466,406.0
86,9,1,1,0,0,41.0,879,60.0
87,1,1,0,1,0,35.0,293,521.0
88,0,0,1,1,0,38.0,424,279.0
