,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,rating,Price,Number of Ratings,Number of Reviews
0,1,1,1,0,2,1,0,1,2,1,0,0,3,0,0,1,34649,3,0
1,5,1,1,0,2,1,0,1,2,1,0,0,3,0,0,2,38999,65,5
2,5,1,1,0,2,1,0,1,2,1,0,0,3,0,0,2,39999,8,1
3,1,1,2,0,3,1,6,0,2,0,1,0,3,0,0,2,69990,0,0
4,1,1,0,7,2,1,0,3,2,1,0,0,3,0,0,2,26990,0,0
5,1,1,0,7,2,1,0,3,2,1,0,0,3,0,0,2,22990,0,0
6,1,1,0,7,2,1,0,3,2,0,0,0,3,0,0,2,21990,31,3
7,1,1,2,0,3,1,0,1,2,0,1,0,3,0,0,2,58799,0,0
8,5,1,2,0,2,1,0,1,2,0,0,0,3,0,0,2,49999,0,0
9,7,0,8,0,2,1,0,3,2,0,2,0,3,0,0,3,59990,1946,240
10,7,0,8,0,2,1,0,3,2,0,3,0,3,0,0,3,93700,259,47
11,7,0,8,0,2,1,0,3,2,0,2,0,3,0,0,3,72990,425,67
12,2,1,0,7,2,1,0,3,2,1,0,0,3,0,0,2,17490,1120,196
14,1,1,1,1,2,1,4,0,2,1,0,0,3,0,0,2,35990,0,0
15,4,1,1,1,3,1,4,0,2,1,0,0,0,1,0,2,56490,0,0
16,4,1,2,1,3,1,4,0,2,1,0,0,0,0,0,2,65390,0,0
17,5,1,0,7,2,1,4,0,2,1,0,2,3,0,0,3,31999,286,19
18,4,1,0,7,3,1,4,0,2,1,0,2,3,0,0,3,32490,58,6
19,5,1,0,7,2,1,4,0,2,1,0,2,3,0,0,2,31799,0,0
20,1,1,0,7,2,1,4,0,2,1,0,0,3,0,0,3,29890,7,0
21,1,1,0,7,2,1,0,1,2,1,0,0,0,0,0,2,23990,15279,1947
22,4,1,1,4,2,1,0,1,2,1,0,0,3,0,0,3,32955,311,27
23,4,1,2,4,2,1,0,1,2,0,1,0,3,0,0,3,46200,47,7
24,1,1,1,1,2,1,4,0,2,1,0,2,3,0,0,3,34429,37,6
25,5,1,1,0,3,1,4,0,2,0,0,2,1,0,1,3,37990,2080,235
26,1,1,1,1,2,1,4,0,2,0,0,0,0,0,1,3,35990,1479,181
27,1,1,1,0,3,1,4,0,2,1,0,2,3,0,0,3,33980,67,3
28,4,1,1,1,3,1,4,0,2,1,0,2,0,0,1,3,39990,273,30
29,3,1,1,0,3,1,4,0,2,1,0,2,0,0,1,3,39490,1267,171
30,4,1,1,1,3,1,4,0,2,1,0,0,0,1,1,3,53990,14,0
31,7,1,1,1,3,1,4,0,2,1,0,2,0,0,0,2,38990,0,0
32,1,1,1,1,3,1,4,0,2,1,0,2,0,0,0,3,37990,284,39
